time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-01-10T16:59:13.660Z,47.7971667,-124.7316667,23.057,3.04,ml,25,202,0.1872,0.41,uw,uw60946547,2016-07-22T19:43:27.190Z,"30km WSW of Forks, Washington",earthquake,1.26,1.6,0.146,107,reviewed,uw,uw
2015-01-10T19:17:26.090Z,41.8736667,-126.001,4.01,2.85,md,10,310,1.363,0.13,nc,nc72378871,2017-02-07T01:03:20.202Z,"143km W of Brookings, Oregon",earthquake,8.42,7.48,0.104,17,reviewed,nc,nc
2015-01-11T08:06:59.010Z,38.048,-121.9091667,19.868,2.54,md,95,41,0.08649,0.22,nc,nc72379081,2017-02-07T01:06:52.390Z,"3km NW of Pittsburg, California",earthquake,0.2,0.34,0.139,124,reviewed,nc,nc
2015-01-11T16:00:13.001Z,41.8802,-119.6344,9.4,2.7,ml,7,122.11,0.14,0.1272,nn,nn00476536,2018-06-29T23:43:04.729Z,"68km ESE of Lakeview, Oregon",earthquake,,4.9,0.22,7,reviewed,nn,nn
2015-01-11T18:49:50.690Z,41.8069,-126.5622,10.64,2.5,ml,,258,1.787,1.06,us,usc000tibq,2015-04-10T18:56:36.040Z,"189km WSW of Gold Beach, Oregon",earthquake,9.6,10.3,0.071,26,reviewed,us,us
2015-01-12T13:16:19.710Z,44.1518333,-122.8991667,7.751,2.61,ml,20,57,0.07738,0.26,uw,uw60946952,2016-07-22T19:43:30.360Z,"13km E of Coburg, Oregon",earthquake,0.34,1.48,0.198,85,reviewed,uw,uw
2015-01-13T04:13:03.346Z,41.9015,-119.6246,8.3,3,ml,6,101.92,0.136,0.2106,nn,nn00476828,2018-06-29T23:43:19.544Z,"67km ESE of Lakeview, Oregon",earthquake,,3.6,0.42,6,reviewed,nn,nn
2015-01-13T04:13:34.520Z,41.852,-119.6876667,0.02,3.24,ml,5,192,0.4623,0.63,uw,uw60104308,2015-01-13T22:42:55.732Z,"66km SE of Lakeview, Oregon",earthquake,2.4,5.95,0.3,24,reviewed,uw,uw
2015-01-13T04:13:52.411Z,41.8913,-119.655,10.8,3.3,ml,4,318.79,0.121,0.0314,nn,nn00477560,2018-06-29T23:43:35.473Z,"66km ESE of Lakeview, Oregon",earthquake,,2.8,0.35,4,reviewed,nn,nn
2015-01-13T04:26:17.107Z,41.8905,-119.6276,10,2.9,ml,5,121.93,0.139,0.1757,nn,nn00476814,2018-06-29T23:43:19.944Z,"68km ESE of Lakeview, Oregon",earthquake,,3.9,0.44,5,reviewed,nn,nn
2015-01-13T04:29:42.824Z,41.8791,-119.6235,9.4,3.8,ml,6,143.21,0.147,0.1764,nn,nn00476835,2018-06-29T23:43:21.692Z,"68km ESE of Lakeview, Oregon",earthquake,,4.1,0.37,6,reviewed,nn,nn
2015-01-13T04:31:07.859Z,41.8694,-119.6372,7.6,3.6,ml,5,221.65,0.145,0.1922,nn,nn00476837,2018-06-29T23:43:20.050Z,"68km ESE of Lakeview, Oregon",earthquake,,6.3,0.59,5,reviewed,nn,nn
2015-01-13T07:22:26.095Z,41.9058,-119.6261,7.3,3.1,ml,6,121.27,0.133,0.1627,nn,nn00476861,2018-06-29T23:43:21.997Z,"67km ESE of Lakeview, Oregon",earthquake,,4.1,0.41,6,reviewed,nn,nn
2015-01-13T07:24:53.501Z,41.9115,-119.6343,7.6,2.6,ml,6,129.83,0.125,0.1353,nn,nn00476862,2018-06-29T23:43:22.114Z,"66km ESE of Lakeview, Oregon",earthquake,,3.8,0.47,6,reviewed,nn,nn
